frame,timestamp
frame_000001.jpg,1779102200621619495
frame_000002.jpg,1779102200639517978
frame_000003.jpg,1779102200657511926
frame_000004.jpg,1779102200684457224
frame_000005.jpg,1779102200703662105
frame_000006.jpg,1779102200718281696
frame_000007.jpg,1779102200739027541
frame_000008.jpg,1779102200759495956
frame_000009.jpg,1779102200784227804
frame_000010.jpg,1779102200799195931
frame_000011.jpg,1779102200824771289
frame_000012.jpg,1779102200843898216
frame_000013.jpg,1779102200869090524
frame_000014.jpg,1779102200885595867
frame_000015.jpg,1779102200906219772
frame_000016.jpg,1779102200926127892
frame_000017.jpg,1779102200948283535
frame_000018.jpg,1779102200971335967
frame_000019.jpg,1779102200987870410
frame_000020.jpg,1779102201006180707
frame_000021.jpg,1779102201027804601
frame_000022.jpg,1779102201048625518
frame_000023.jpg,1779102201072232886
frame_000024.jpg,1779102201088363719
frame_000025.jpg,1779102201107218196
frame_000026.jpg,1779102201129407644
frame_000027.jpg,1779102201155177412
frame_000028.jpg,1779102201177324480
frame_000029.jpg,1779102201200341190
frame_000030.jpg,1779102201221163669
frame_000031.jpg,1779102201242088162
frame_000032.jpg,1779102201263279082
frame_000033.jpg,1779102201284135696
frame_000034.jpg,1779102201303420029
frame_000035.jpg,1779102201324049838
frame_000036.jpg,1779102201351040981
frame_000037.jpg,1779102201365573851
frame_000038.jpg,1779102201389065204
frame_000039.jpg,1779102201409983302
frame_000040.jpg,1779102201430505547
frame_000041.jpg,1779102201451717158
frame_000042.jpg,1779102201473300954
frame_000043.jpg,1779102201502088845
frame_000044.jpg,1779102201533958547
frame_000045.jpg,1779102201552492779
frame_000046.jpg,1779102201573137551
frame_000047.jpg,1779102201593126411
frame_000048.jpg,1779102201614272183
frame_000049.jpg,1779102201636922931
frame_000050.jpg,1779102201660067708
frame_000051.jpg,1779102201679781078
frame_000052.jpg,1779102201698665254
frame_000053.jpg,1779102201722393013
frame_000054.jpg,1779102201744150008
frame_000055.jpg,1779102201765595735
frame_000056.jpg,1779102201782932149
frame_000057.jpg,1779102201802601681
frame_000058.jpg,1779102201825143856
frame_000059.jpg,1779102201843693121
frame_000060.jpg,1779102201864312283
frame_000061.jpg,1779102201888754043
frame_000062.jpg,1779102201907156117
frame_000063.jpg,1779102201929936937
frame_000064.jpg,1779102201959219025
frame_000065.jpg,1779102201982442859
frame_000066.jpg,1779102202001042981
frame_000067.jpg,1779102202021568360
frame_000068.jpg,1779102202042683639
frame_000069.jpg,1779102202065205360
frame_000070.jpg,1779102202085984730
frame_000071.jpg,1779102202104557883
frame_000072.jpg,1779102202133240301
frame_000073.jpg,1779102202164055275
frame_000074.jpg,1779102202185806028
frame_000075.jpg,1779102202211194832
frame_000076.jpg,1779102202232575723
frame_000077.jpg,1779102202251312133
frame_000078.jpg,1779102202276850104
frame_000079.jpg,1779102202291730842
frame_000080.jpg,1779102202313902736
frame_000081.jpg,1779102202340019687
frame_000082.jpg,1779102202355930203
frame_000083.jpg,1779102202377025017
frame_000084.jpg,1779102202397548483
frame_000085.jpg,1779102202418172179
frame_000086.jpg,1779102202448089609
frame_000087.jpg,1779102202462741771
frame_000088.jpg,1779102202482617205
frame_000089.jpg,1779102202503799722
frame_000090.jpg,1779102202524855356
frame_000091.jpg,1779102202549217119
frame_000092.jpg,1779102202563627792
frame_000093.jpg,1779102202586901088
frame_000094.jpg,1779102202603517587
frame_000095.jpg,1779102202625726973
frame_000096.jpg,1779102202648111665
frame_000097.jpg,1779102202679452169
frame_000098.jpg,1779102202701660149
frame_000099.jpg,1779102202718642414
frame_000100.jpg,1779102202744791901
frame_000101.jpg,1779102202759165849
frame_000102.jpg,1779102202780637704
frame_000103.jpg,1779102202804183541
frame_000104.jpg,1779102202825966762
frame_000105.jpg,1779102202847564274
frame_000106.jpg,1779102202864114283
frame_000107.jpg,1779102202883593067
frame_000108.jpg,1779102202907403508
frame_000109.jpg,1779102202930231127
frame_000110.jpg,1779102202948321982
frame_000111.jpg,1779102202962916364
frame_000112.jpg,1779102202985796791
frame_000113.jpg,1779102203009445914
frame_000114.jpg,1779102203027728544
frame_000115.jpg,1779102203053120316
frame_000116.jpg,1779102203067858785
frame_000117.jpg,1779102203088495293
frame_000118.jpg,1779102203111111913
frame_000119.jpg,1779102203132576724
frame_000120.jpg,1779102203158217453
frame_000121.jpg,1779102203175380278
frame_000122.jpg,1779102203194348259
frame_000123.jpg,1779102203215231331
frame_000124.jpg,1779102203238508693
frame_000125.jpg,1779102203259275065
frame_000126.jpg,1779102203277711215
frame_000127.jpg,1779102203297703125
frame_000128.jpg,1779102203318819138
frame_000129.jpg,1779102203344473867
frame_000130.jpg,1779102203361247252
frame_000131.jpg,1779102203380218763
frame_000132.jpg,1779102203404852305
frame_000133.jpg,1779102203419518849
frame_000134.jpg,1779102203440233328
frame_000135.jpg,1779102203460145083
frame_000136.jpg,1779102203481309798
frame_000137.jpg,1779102203503052030
frame_000138.jpg,1779102203523076745
frame_000139.jpg,1779102203543868760
frame_000140.jpg,1779102203564434288
frame_000141.jpg,1779102203585475271
frame_000142.jpg,1779102203606883123
frame_000143.jpg,1779102203629418894
frame_000144.jpg,1779102203652070452
frame_000145.jpg,1779102203668990491
frame_000146.jpg,1779102203690922813
frame_000147.jpg,1779102203716066209
frame_000148.jpg,1779102203731092642
frame_000149.jpg,1779102203756986431
frame_000150.jpg,1779102203773939599
frame_000151.jpg,1779102203791956393
frame_000152.jpg,1779102203812816878
frame_000153.jpg,1779102203833431029
frame_000154.jpg,1779102203858234670
frame_000155.jpg,1779102203881293526
frame_000156.jpg,1779102203899913439
frame_000157.jpg,1779102203918400853
frame_000158.jpg,1779102203939862255
frame_000159.jpg,1779102203964700986
frame_000160.jpg,1779102203982654529
frame_000161.jpg,1779102204003857780
frame_000162.jpg,1779102204024602374
frame_000163.jpg,1779102204048367989
frame_000164.jpg,1779102204070729353
frame_000165.jpg,1779102204091664780
frame_000166.jpg,1779102204117144592
frame_000167.jpg,1779102204137415301
frame_000168.jpg,1779102204155233337
frame_000169.jpg,1779102204174957107
frame_000170.jpg,1779102204198931383
frame_000171.jpg,1779102204223291347
frame_000172.jpg,1779102204242597969
frame_000173.jpg,1779102204262635214
frame_000174.jpg,1779102204283823198
frame_000175.jpg,1779102204304585277
frame_000176.jpg,1779102204326828857
frame_000177.jpg,1779102204345949284
frame_000178.jpg,1779102204366923794
frame_000179.jpg,1779102204389707314
frame_000180.jpg,1779102204410425372
frame_000181.jpg,1779102204430353660
frame_000182.jpg,1779102204455105434
frame_000183.jpg,1779102204469915559
frame_000184.jpg,1779102204494302743
frame_000185.jpg,1779102204516523471
frame_000186.jpg,1779102204531210433
frame_000187.jpg,1779102204551503101
frame_000188.jpg,1779102204571370643
frame_000189.jpg,1779102204595688243
frame_000190.jpg,1779102204609991552
frame_000191.jpg,1779102204630994482
frame_000192.jpg,1779102204655631419
frame_000193.jpg,1779102204674800399
frame_000194.jpg,1779102204696665093
frame_000195.jpg,1779102204715206654
frame_000196.jpg,1779102204739947704
frame_000197.jpg,1779102204755136156
frame_000198.jpg,1779102204780049942
frame_000199.jpg,1779102204799010423
frame_000200.jpg,1779102204822756269
frame_000201.jpg,1779102204843269065
frame_000202.jpg,1779102204863813075
frame_000203.jpg,1779102204887160426
frame_000204.jpg,1779102204905720000
frame_000205.jpg,1779102204924811874
frame_000206.jpg,1779102204950739500
frame_000207.jpg,1779102204965199860
frame_000208.jpg,1779102204988110982
frame_000209.jpg,1779102205009497952
frame_000210.jpg,1779102205033217643
frame_000211.jpg,1779102205053751589
frame_000212.jpg,1779102205072941251
frame_000213.jpg,1779102205096485613
frame_000214.jpg,1779102205120074720
frame_000215.jpg,1779102205139645027
frame_000216.jpg,1779102205162807306
frame_000217.jpg,1779102205192597220
frame_000218.jpg,1779102205207284860
frame_000219.jpg,1779102205228170603
frame_000220.jpg,1779102205248446154
frame_000221.jpg,1779102205271018254
frame_000222.jpg,1779102205292031130
frame_000223.jpg,1779102205312893609
frame_000224.jpg,1779102205333463188
